BUSINESS_UNIT,YEAR,MONTH_NAME,PARENT_CLIENT,CLIENT_ID,REPORTING_LOB_L3,ACCOUNT,CURRENCY,VALUE,USD_VALUE,FUNCTIONAL_UNIT,MANAGING_OFFICE,REPORTING_COUNTRY,SF_INSERT_DT,MD5_HASH
"Valuation",2025,"January","j71pJgLTOJYS","opapcvkMQynP","Digital","wYWHFbWjTghv","AUD",81122.2,70620.64,"Ops","NewYork","IN","2025-11-02 14:52:24","e4f5fbd7a90c6cde6863fceb8ef1f121"
"PropertyMgmt",2022,"February","pCbNdusQYCSP","CSC2tALDIUAW","Digital","hoY7xPKxdFij","AUD",41808.95,50350.74,"IT","Delhi","FR","2025-11-09 14:52:24","91ae9633d17b054409319da1105355a7"
"CapitalMarkets",2024,"March","HjNZPZJuaY8S","vT8Hbyst8oiW","Digital","rruCWjmB4UwD","USD",85090.18,75843.89,"Ops","Delhi","JP","2025-10-07 14:52:24","22ae9d60d7697eb7aa6beeb1bf6fcb8e"
"Valuation",2020,"April","1kdoJbAHiYVk","qletd63gKUoR","Investments","MxtEbAOKWxoF","AUD",28316.18,41025.42,"HR","London","JP","2025-04-14 14:52:24","9e045da10dc65e81b5ac2d124c5db40d"
"Advisory",2020,"May","tXPgbiQNWnX3","lvXStxSLuOCg","Investments","6pGJILTRjzMs","CAD",36695.68,98789.72,"Finance","Delhi","AU","2025-01-27 14:52:24","2a3bdadda5ff33285e679d46495bb926"
"Workplace",2021,"June","lcEbwAISUxWw","tn0SheDivkA0","GWS","Lww78w8UE27J","AUD",54098.65,62238.5,"IT","Berlin","US","2025-07-30 14:52:24","acb2885d78528ab20562e0b220c01165"
"CapitalMarkets",2021,"July","mDUXQ7LKw5CW","vUipiuDStMBT","GWS","JvaQqIRUhn2J","CAD",18685.74,75787.23,"Analytics","Sydney","US","2025-06-07 14:52:24","b3c13c88a210997b5fda6aede080745b"
"Valuation",2019,"August","Et7ED162vIJY","EWWr7I98nf0W","Digital","gTA08vzNE9lp","CAD",72676.6,36761.26,"IT","Delhi","BR","2025-06-20 14:52:24","b319e963b68f20742cb2354941a7f80d"
"PropertyMgmt",2020,"September","r7HvpQ9Eral5","7stTDyhlR14m","Investments","PkRLdznUBohv","GBP",17382.74,27103.51,"Analytics","London","UK","2025-10-10 14:52:24","5e7a51cf7bf613470370eecb24d540f7"
"Valuation",2021,"October","vg4MsKFeWVOi","DiXVheMQPiiS","GWS","WkE2p7WODsrz","GBP",59646.08,71449.7,"Analytics","Berlin","CA","2025-08-11 14:52:24","1d755d34bd1d27aae3bbecfeb3d8078b"
"CapitalMarkets",2019,"November","4LmjaLkVelkF","qRwUlncX9OOh","Advisory","Ay5s34qZRdH4","AUD",30544.6,11296.7,"IT","London","FR","2025-10-16 14:52:24","a72049fcb9eb0370d587381f72aafb79"
"PropertyMgmt",2019,"December","O93feWzpaSWW","IeD0MxmaVQ17","GWS","1LDfnMYWxFCf","CAD",10325.0,47740.43,"HR","Berlin","BR","2024-12-12 14:52:24","9ce8a35fdc383602670fb2046a76a689"
"PropertyMgmt",2024,"January","lfDe1xxcwQWY","3dkZOu7bp6gQ","Advisory","qrjbjgURPYCN","USD",40422.08,69583.51,"IT","London","FR","2025-07-13 14:52:24","c7ef6b282f3ea12f018e407065ff2d5c"
"CapitalMarkets",2022,"February","3KpYj7GObumc","9RFHojbXgbMT","Digital","BLCF9N7629WN","AUD",60224.05,3959.85,"Analytics","Delhi","BR","2025-05-17 14:52:24","9ac4bae99b3547f496422b3f3e29ed7d"
"Advisory",2023,"March","qDsEK3JYV4ir","MwDCPU0KSzdw","Advisory","umkCP4dYlWZ2","USD",65832.01,56480.6,"Finance","London","IN","2025-09-20 14:52:24","1f12d7b6d99d2a155813f003d4a27044"
"Valuation",2020,"April","A4Ewghfg0jnm","ZEPU2hTmsXfA","GWS","XrodhOwtNW1t","AUD",48861.94,48085.81,"Ops","NewYork","BR","2025-07-09 14:52:24","6a02ae01d0141bf1a00cc2f53ffcacf1"
"Advisory",2024,"May","6m3Ddm62kNMo","EFtFufGmfu19","Advisory","v2VzgyjTCvO2","CAD",41426.69,35234.82,"Ops","Sydney","UK","2025-10-10 14:52:24","f5b721e1e948b7b612bdc55c697dbb2c"
"Advisory",2020,"June","kNGN7wbcpr9G","D1gKdfVREzgt","GWS","oFjMjkBXCImT","INR",28306.57,49008.52,"HR","Berlin","JP","2025-11-07 14:52:24","ecf1d497aa35323dbf49e0877e315352"
"Advisory",2024,"July","MZ7LYypY0LOr","gRcOQQrIVFuG","Digital","SJMVLDHTR76i","CAD",19431.13,63101.87,"Ops","Delhi","UK","2025-01-04 14:52:24","da5726339969faeca54a73b1faf9b61c"
"Workplace",2021,"August","IL6H32GFe7YS","8dsRj4oxqkTg","Digital","sZowSuCF3fND","GBP",26666.53,86317.81,"HR","NewYork","DE","2025-09-25 14:52:24","394983adb1134b2f8302b53b324b45b0"
