YEAR,MONTH_NAME,REPORTING_LOB_L3,REPORTING_COUNTRY,USD_VALUE_GR,USD_VALUE_NR,USD_VALUE_SOP,LOCAL_VALUE_GR,LOCAL_VALUE_NR,LOCAL_VALUE_SOP,USD_VALUE_SOP_MARGIN_GR,USD_VALUE_SOP_MARGIN_NR,SF_INSERT_DT,MD5_HASH
2020,"January","Investments","BR",62465.61,93236.96,25330.57,46431.52,32007.47,30620.7,19376.34,3059.45,"2025-08-30 14:52:24","2770f9b156b1a0ebd68c8e0062cdd530"
2019,"February","Investments","FR",92839.26,77557.81,55260.15,55615.7,70265.97,54654.85,53543.07,47174.78,"2024-12-15 14:52:24","c3d19f8822c79710dd9d76c8a5499c5a"
2023,"March","GWS","JP",90340.49,25106.24,20083.33,99275.34,7225.9,42434.83,4334.62,28489.0,"2025-01-12 14:52:24","8dda1bcf91f519ffba9375e5a3a2a388"
2024,"April","Digital","BR",71539.86,61744.23,36402.12,5542.38,18415.67,41144.64,74841.64,52056.29,"2025-08-18 14:52:24","5092b6726c599077c877166ff9f3ef8c"
2022,"May","Digital","DE",43485.73,67995.06,30144.99,7486.93,72481.13,74515.71,14173.65,70881.66,"2025-06-05 14:52:24","bc8105cb46a446e2e20827468c2c3653"
2022,"June","Advisory","CA",38639.7,99222.33,50996.23,93120.63,19712.95,51790.13,24852.37,19421.76,"2024-11-23 14:52:24","ae1b62f1262d7d33cd63c37327af6d27"
2023,"July","Investments","US",89620.13,19039.56,13453.35,89742.61,62336.1,44527.15,36813.68,38944.57,"2025-02-27 14:52:24","505377552b7d6c9e301e278626e4f408"
2023,"August","Digital","FR",69222.03,10876.5,70440.77,34229.76,24887.44,20787.76,28472.05,10381.46,"2025-09-11 14:52:24","9a0a97c4d3ab815ffc1dfec7e1efca80"
2024,"September","Digital","FR",5191.83,72215.46,4078.55,23907.2,24706.2,73446.09,50785.17,34346.97,"2025-03-26 14:52:24","1b7f77ce3cc37b0b2c8e62e99d850937"
2021,"October","Advisory","UK",87334.32,53928.81,51932.43,18511.22,1516.54,59515.34,37732.1,72343.75,"2025-11-08 14:52:24","62c0e8d6da42baa805a0c472b45ed0d9"
2022,"November","Investments","FR",77852.51,75451.87,72064.91,43521.64,3507.58,61854.54,71897.96,53700.05,"2024-12-18 14:52:24","28a7ed85ae825235751dcb2855fddc8b"
2025,"December","Digital","FR",57847.82,17003.2,40550.63,48480.67,2062.34,85928.4,2677.9,39884.12,"2025-06-10 14:52:24","3e63c3335901bf57140a66850e516110"
2019,"January","Advisory","DE",84142.88,28540.17,21040.07,84151.45,34310.22,36266.43,66538.04,58043.7,"2025-11-16 14:52:24","0b915e88ea4cf0518d5ed2239635838b"
2020,"February","Digital","IN",85269.94,52518.78,24161.77,56805.43,74667.58,69831.46,70491.53,38061.22,"2025-02-28 14:52:24","a731dbfd6c87d7cdd6c8cb0fc9c63b80"
2020,"March","Investments","DE",90111.94,93300.98,40294.92,72310.12,1639.85,30696.84,29757.6,25321.22,"2025-07-09 14:52:24","bfa810d205fe57faf0c3a3a455dcbb51"
2019,"April","GWS","FR",89432.1,89455.62,51370.58,72980.02,90652.71,91730.23,7758.17,56399.49,"2025-10-17 14:52:24","ac88415fff12e2f76a4d73b35b75dabb"
2021,"May","Advisory","US",99229.22,99536.49,60632.99,39207.6,64898.82,37637.86,39985.95,70847.68,"2025-06-11 14:52:24","79d0918cbbe2c594b0ace161db46ce3f"
2021,"June","Advisory","US",64812.59,61823.42,15875.45,26027.8,47499.53,97691.8,60689.93,21960.39,"2025-06-29 14:52:24","50b68795a0fe891843216b0dace10d54"
2020,"July","GWS","FR",48032.16,89051.14,15739.59,20581.44,48958.64,53886.55,28472.94,42646.02,"2025-05-17 14:52:24","99424350483c47261e78fb80257a2fe7"
2020,"August","Digital","FR",14800.74,56902.96,19187.51,22645.87,48535.44,73362.69,61739.21,42947.37,"2025-06-09 14:52:24","2c395e04284c064dd7aa1330cd5684a0"
